,Name,Type,Location,Country
74,F. Schichau KÃ¶nigsburg ,Shipyard ,"KÃ¶nigsburg, OstpreuÃen ",Germany 
75,F. Schichau Pillau ,Shipyard ,"Pillau, OstpreuÃen ",Germany 
76,Fenghuangshan Airfield ,Airfield ,"Chengdu, Sichuan ",China 
77,Flensburger Schiffbau AG ,Shipyard ,"Flensburg, Schleswig-Holstein ",Germany 
78,FlossenbÃ¼rg Concentration Camp ,Prison Camp ,"FlossenbÃ¼rg, Bayreuth ",Germany 
79,Foggia Airfield Complex ,Airfield ,Apulia ,Italy 
80,Fort Breendonk ,Prison Camp ,Breendonk ,Belgium 
81,Fort Kamehameha ,Fortification ,"Honolulu, Oahu ",Hawaii 
82,Fort Shafter ,Fortification ,"Honolulu, Oahu ",Hawaii 
83,Fresnes Prison ,Prison Camp ,"Fresnes, Ãle-de-France ",France 
84,Friedrich Krupp Germaniawerft ,Shipyard ,"Kiel, Schleswig-Holstein ",Germany 
85,Fuchu Prison ,Prison Camp ,Tokyo ,Japan 
86,Fuzhou Arsenal ,Shipyard ,"Fuzhou, Fujian ",China 
87,Gamatron ,Other ,"Frederiksdal, South Greenland ",Greenland 
88,Ganzhou Airfield ,Airfield ,"Ganzhou, Jiangxi ",China 
89,Genzan Airfield ,Airfield ,"Genzan, Hamgyongnam ",Korea 
90,Giran Airfield ,Airfield ,"Giran, Taihoku ",Taiwan 
91,Grand Harbour ,"Naval Port, Shipyard ",Valletta ,Malta 
92,Guanghan Airfield ,Airfield ,"Guanghan, Sichuan ",China 
93,Guilin Airfield ,Airfield ,"Liangjiang, Guangxi ",China 
94,H. C. StÃ¼lcken Sohn ,Shipyard ,Hamburg ,Germany 
95,Hadamar Euthanasia Center ,Prison Camp ,"Hadamar, Hessen-Nassau ",Germany 
96,Haneda Airfield ,Airfield ,Tokyo ,Japan 
97,Hanyang Arsenal ,Factory ,"Hanyang, Hubei ",China 
98,HASAG Leipzig ,"Prison Camp, Factory ","FlÃ¶senberg, Bayreuth ",Germany 
99,Heito Airfield ,Airfield ,"Heito, Takao ",Taiwan 
100,Henderson Field ,Airfield ,Guadalcanal ,British Western Pacific Territories 
101,Hickam Field ,Airfield ,"Honolulu, Oahu ",Hawaii 
